0.124,-15.994,-6.915
0.224,-15.858,-6.915
0.324,-15.721,-6.915
0.424,-15.584,-6.915
0.524,-15.447,-6.915
0.624,-15.308,-6.915
0.724,-15.168,-6.915
0.824,-15.029,-6.915
0.924,-14.892,-6.915
1.024,-14.754,-6.915
1.124,-14.613,-6.915
1.224,-14.472,-6.915
1.324,-14.333,-6.915
1.424,-14.197,-6.915
1.524,-14.059,-6.915
1.624,-13.919,-6.915
1.724,-13.78,-6.9151
1.824,-13.644,-6.9149
1.924,-13.508,-6.9145
2.024,-13.369,-6.9138
2.124,-13.228,-6.9132
2.224,-13.087,-6.9128
2.324,-12.948,-6.913
2.424,-12.807,-6.9152
2.524,-12.662,-6.92
2.624,-12.514,-6.9258
2.724,-12.37,-6.9303
2.824,-12.23,-6.9328
2.924,-12.092,-6.9347
3.024,-11.952,-6.9378
3.124,-11.809,-6.9426
3.224,-11.664,-6.9486
3.324,-11.518,-6.9542
3.424,-11.373,-6.9588
3.524,-11.228,-6.9634
3.624,-11.083,-6.9686
3.724,-10.939,-6.9737
3.824,-10.795,-6.9782
3.924,-10.653,-6.983
4.024,-10.509,-6.9885
4.124,-10.364,-6.994
4.224,-10.222,-6.9982
4.324,-10.081,-7.001
4.424,-9.9386,-7.0034
4.524,-9.7959,-7.0067
4.624,-9.6531,-7.0109
4.724,-9.5086,-7.016
4.824,-9.3635,-7.0216
4.924,-9.2206,-7.0267
5.024,-9.0781,-7.0312
5.124,-8.9322,-7.0362
5.224,-8.7836,-7.0418
5.324,-8.637,-7.0465
5.424,-8.4949,-7.0485
5.524,-8.357,-7.048
5.624,-8.222,-7.047
5.724,-8.0879,-7.0474
5.824,-7.951,-7.0503
5.924,-7.8082,-7.0554
6.024,-7.6604,-7.0612
6.124,-7.5121,-7.0663
6.224,-7.3663,-7.0706
6.324,-7.2229,-7.0751
6.424,-7.0811,-7.08
6.524,-6.9377,-7.0848
6.624,-6.7919,-7.0895
6.724,-6.6477,-7.0943
6.824,-6.5065,-7.0993
6.924,-6.3634,-7.1053
7.024,-6.2157,-7.1134
7.124,-6.0644,-7.1235
7.224,-5.9117,-7.1345
7.324,-5.7594,-7.1453
7.424,-5.6089,-7.1557
7.524,-5.4599,-7.1656
7.624,-5.312,-7.1756
7.724,-5.1655,-7.1864
7.824,-5.0183,-7.1987
7.924,-4.8668,-7.2123
8.024,-4.7109,-7.2267
8.124,-4.5542,-7.2411
8.224,-4.3982,-7.2548
8.324,-4.2423,-7.266
8.424,-4.0843,-7.2729
8.524,-3.9234,-7.2759
8.624,-3.7619,-7.2774
8.724,-3.6004,-7.2791
8.824,-3.4386,-7.2816
8.924,-3.2802,-7.2846
9.024,-3.1261,-7.2867
